id,name,published,outlet,title,authors,category,market,categoryorder,articleorder,url,description,text,image,error,sentiment,firstEyes
,Education Funding,2026-06-05 20:09:38+00:00,  |  $46 million in federal funds for Native Hawaiian Education Program will be extended another year,$46 million in federal funds for Native Hawaiian Education Program will be extended another year | Kauai Now,,,,,,https://kauainownews.com/2026/06/05/46-million-in-federal-funds-for-native-hawaiian-education-program-will-be-extended-another-year/,Extension guarantees more than 60 Native Hawaiian Education Program early childhood education grant recipients throughout the state fully funded for at least another year.,,https://media.kauainownews.com/file/kauainow/2026/06/Schatz-McMahon-reach-agreement-for-Native-Hawaiian-Education-Program-funding-extension-6-5-26-KN-feature-pic-1024x576.jpg,,,2026-06-05 16:57:20.955139
,Education Funding,2026-06-05 17:50:29+00:00,Education Week,Congress Is Working on a New K-12 Budget. See What's Proposed for Key Programs,,,,,,https://www.edweek.org/policy-politics/congress-is-working-on-a-new-k-12-budget-see-whats-proposed-for-key-programs/2026/06,House lawmakers advanced major cuts to Title I and several competitive grant programs.,,https://epe.brightspotcdn.com/dims4/default/62c07ad/2147483647/strip/true/crop/4242x2828+0+0/resize/945x630!/quality/90/?url=https%3A%2F%2Fepe-brightspot.s3.us-east-1.amazonaws.com%2F23%2Fac%2Fe0a6fdf446f5bb68b8369980ec63%2Fcaphilljune05.jpg,,,2026-06-05 14:57:06.542534
,Education Funding,2026-06-05 17:23:14+00:00,Default,House Subcommittee Advances FY27 Education Funding Proposal,,,,,,https://www.aasa.org/resources/blog/house-subcommittee-advances-fy27-education-funding-proposal,"This morning, the House Appropriations Subcommittee on Labor, Health and Human Services, Education and Related Agencies advanced its Fiscal Year 2027 funding proposal. ",,https://www.aasa.org/images/default-source/advocacy/capitol-hill.png?sfvrsn=8f99aaf4_1,,,2026-06-05 13:58:56.968113
,Education Funding,2026-06-05 17:05:05+00:00,Marketbrief,School Districts Are Making Cuts. Here's What Is Being Reduced This Budget Cycle,,,,,,https://marketbrief.edweek.org/education-market/school-districts-are-making-cuts-heres-what-is-being-reduced-this-budget-cycle/2026/06,"New EdWeek Market Brief survey data shows the majority of administrators are reducing spending in some categories, and the impact is spread across a broad range of areas that vendors target.",,https://epe.brightspotcdn.com/dims4/default/e074a5a/2147483647/strip/true/crop/7258x4792+0+0/resize/954x630!/quality/90/?url=https%3A%2F%2Fepe-brightspot.s3.us-east-1.amazonaws.com%2F54%2F61%2F7cee14cd4962a6e48c007395eb2a%2Fcut-funding-1317229904.jpg,,,2026-06-05 14:57:06.542534
,Education Funding,2026-06-05 16:33:02+00:00,edhat,$45.4 Million Federal Grant to Fund Major School Expansion for Vandenberg Families - edhat,,,,,,https://www.edhat.com/news/45-4-million-federal-grant-to-fund-major-school-expansion-for-vandenberg-families/,A nearly $60 million construction project will transform Manzanita Public Charter School for military families stationed at Vandenberg Space Force Base.,,https://www.edhat.com/wp-content/uploads/2026/06/manzanita-school-lompoc.jpeg,,,2026-06-05 13:58:56.968113
,West Virginia,2026-06-05 15:10:11+00:00,WV News,West Virginia school funding formula faces renewed scrutiny amid closure concerns,,,,,,https://www.wvnews.com/statejournal/news/top_story/west-virginia-school-funding-formula-faces-renewed-scrutiny-amid-closure-concerns/article_30949409-73e7-4d9a-8d56-2854eb2fe072.html,Quick take:,,https://bloximages.chicago2.vip.townnews.com/wvnews.com/content/tncms/assets/v3/editorial/2/d6/2d6f7ff5-4d3b-4822-bf5c-d5efdb753305/6a1f1bbe9be0a.image.jpg?crop=1764%2C927%2C0%2C123&resize=1200%2C631&order=crop%2Cresize,,,2026-06-05 11:58:00.628979
,Education Funding,2026-06-05 11:32:17+00:00,Duluth News Tribune,"Duluth schools rework previous cuts, announce additional reductions",,,,,,https://www.duluthnewstribune.com/news/local/duluth-schools-rework-previous-cuts-announce-additional-reductions,"While Duluth Public Schools will maintain several positions that were previously up for elimination, more positions are being cut as a result of decreased federal funding. ",,https://cdn.forumcomm.com/dims4/default/015aeb3/2147483647/strip/true/crop/1530x953+0+0/resize/1711x1066!/quality/90/?url=https%3A%2F%2Ffcc-cue-exports-brightspot.s3.us-west-2.amazonaws.com%2Fduluthnewstribune%2Fbinary%2Fcopy%2F73%2F42%2F3d430eee58286a8c08598dcfe116%2F897712-congdon0608c-binary-1587208.jpg,,,2026-06-05 12:57:01.596284
,Education Funding,2026-06-05 10:04:51+00:00,KUNC,US Department of Education threatens Jeffco schools with funding cuts over gender identity policies,,,,,,https://www.kunc.org/news/2026-06-05/us-department-of-education-threatens-jeffco-schools-with-funding-cuts-over-gender-identity-policies,Officials say the district is violating Title IX by allowing trans students to use accommodations that align with their gender identity.,,https://npr.brightspotcdn.com/dims4/default/2043e57/2147483647/strip/true/crop/1080x567+0+77/resize/1200x630!/quality/90/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F25%2F28%2Fee374fc84b3f91c3e86c2a3cac0d%2F20220827-back-to-school-jeffco-c.jpg,,,2026-06-05 06:58:43.247671
,Education Funding,2026-06-05 10:01:46+00:00,www.nasfaa.org,"House FY 2027 Budget Proposal Would Cut Campus-Based Aid, Increase Max Pell, and ... - nasfaa",,,,,,https://www.nasfaa.org/news-item/39083/House_FY_2027_Budget_Proposal_Would_Cut_Campus-Based_Aid_Increase_Max_Pell_and_Eliminate_Subsidized_Loan_Funding,“Eliminating funding for Direct Subsidized Loans and slashing funding for Federal Work-Study and the Federal Supplemental Educational Opportunity ...,,,,,2026-06-05 06:58:43.247671
,Alabama Reflector,2026-06-05 10:00:15+00:00,Alabama Reflector,PEEHIP board approves retiree trust withdrawal to close FY27 benefit gap,Anna Barrett,,,,,https://alabamareflector.com/2026/06/05/peehip-board-approves-retiree-trust-withdrawal-to-close-fy27-benefit-gap/,"The Public Education Employee Health Insurance Plan (PEEHIP) Board on Wednesday voted to withdraw money from its retiree trust fund after the Legislature approved a benefit funding level less than what the board requested.  PEEHIP currently provides $904 per member per month, an estimated $814.8 million, to the Education Trust Fund (ETF) budget. Amid rising[...]","The Public Education Employees Health Insurance Plan board approved a $380 million budget request increase at its quarterly meeting on Sept. 3, 2025, in the RSA building in Montgomery, Alabama. The Legislature this spring appropriated approximately $180 million, so the board on Wednesday approved a $200 million withdrawal from the retiree trust fund to cover the rest of the benefits. (Anna Barrett/Alabama Reflector)The Public Education Employee Health Insurance Plan (PEEHIP) Board on Wednesday voted to withdraw money from its retiree trust fund after the Legislature approved a benefit funding level less than what the board requested. 
PEEHIP currently provides $904 per member per month, an estimated $814.8 million, to the Education Trust Fund (ETF) budget. Amid rising healthcare costs, the PEEHIP board requested $1,209 per member per month, an estimated cost of $1.09 billion to the ETF, for fiscal year 2027. Gov. Kay Ivey asked the Legislature to appropriate $1,073 per member per month, an estimated $966.4 million cost to the ETF.
In the final version of the ETF, lawmakers appropriated $1,048 per member per month, an estimated $180 million cost to the budget, leaving the PEEHIP board to fund the rest.
The board unanimously approved a withdrawal from the trust for up to $200 million to cover the rest of its members’ benefits for fiscal year 2027. Jo Moore, the deputy director of administration for the board, said at a PEEHIP meeting on Wednesday that running a healthcare program is “one of the most difficult plans to administer.”
“We don’t control our members’ health, we don’t control their need for health services, and we don’t control the cost of those health services,” she said. “But nevertheless, we have approximately 360,000 individuals that are depending on us to provide them with quality healthcare. We do the best that we can with what we’ve got, and we will continue to do so.”
SUBSCRIBE: GET THE MORNING HEADLINES DELIVERED TO YOUR INBOX.
Growing economic pressures on the state’s budget have led to conservative budgeting and warnings from the legislative fiscal officers about future budgets. Kirk Fulford, legislative fiscal officer, told legislators in January that fiscal year 2028 would be  “a rock fight.” As of Thursday, the ETF’s revenues, most of which comes from the state’s income tax, were up 0.79% from this time last year, according to the Legislative Services Agency. 
Neah Scott, PEEHIP’s legislative counsel, said at the meeting that the board “did pretty good” in the current fiscal year and FY 2027, which begins on Oct. 1, but said it would be more difficult as “the growth slows and there’s more pressure and demands.”
Diane Scott, chief financial officer for PEEHIP, said Wednesday that as of Monday there was about $2.9 billion in the retiree trust fund. 
“PEEHIP faces funding shortfalls due to the escalating cost of providing healthcare benefits based upon a change in Medicare funding. Even with additional funding from the Alabama legislature, PEEHIP anticipates a shortfall of up to $200 million for fiscal ’27,’” she said, reading a motion presented to the board. 
The CFO said that if the Legislature’s rate stays the same for fiscal year 2028, the board will have to withdraw up to $293 million from the retiree trust, and up to $468 million for fiscal year 2029 if costs continue to increase and membership is stagnant at about 104,000 people.
“We’re not going to deal with those today. We need to deal with what we’re going to do the rest of this year and what we’re going to do with ’27,” she said. “Get that anchor down and let the process naturally occur. But again, that’s consistent with those increases in costs that we’re seeing.”
David Bronner, CEO of the Retirement System of Alabama, said those in attendance should ask political candidates “are you going to support us or not?
“Then we know where we stand at least,” he said. “Are you going to support us for our pensions? But we also need to know, are you going to support healthcare for teachers? Or are you going to ask teachers without any meaningful raises, are you going to ask them to pay more for their healthcare?”",https://alabamareflector.com/wp-content/uploads/2025/09/Untitled-design-e1756930754335-1024x563.png,,,2026-06-05 07:00:57.614482
