id,name,published,outlet,title,authors,category,market,categoryorder,articleorder,url,description,text,image,error,sentiment,firstEyes
,Costs & Impacts,2026-08-01 14:57:19+00:00,www.nytimes.com,Scope of Hacks on U.S. Water Supply Widens as Evidence Points to Iran,,,,,,https://www.nytimes.com/2026/08/01/us/politics/scope-of-hacks-on-us-water-supply-widens-as-evidence-points-to-iran.html,"In a public advisory published late Thursday, after the Times report, the F.B.I. and the Environmental Protection Agency said that since Monday “at ...",,,,,2026-08-01 12:06:56.549215
,Costs & Impacts,2026-08-01 14:46:46+00:00,www.newsnationnow.com,Water systems in 7 states hit by cyberattacks: FBI - NewsNation,,,,,,https://www.newsnationnow.com/us-news/infrastructure/water-systems-7-states-cyberattacks-fbi/,The FBI and EPA say hackers have targeted water utilities in at ... (NewsNation) — The FBI and Environmental Protection Agency are warning ...,,,,,2026-08-01 12:06:56.549215
,Costs & Impacts,2026-08-01 14:08:59+00:00,www.thefencepost.com,EPA proposes to end diesel exhaust fluid deratements,,,,,,https://www.thefencepost.com/news/epa-proposes-to-end-diesel-exhaust-fluid-deratements/,The U.S. Environmental Protection Agency is proposing regulatory amendments to certain compliance provisions and test procedures related to model year (MY) 2027 and later heavy-duty highway engines. These amendments would include changes to the regulatory...,,https://swiftmedia.s3.amazonaws.com/mountain.swiftcom.com/images/sites/12/2023/09/11220335/facebook-thumbnail-1200.jpg,,,2026-08-01 11:02:54.853751
,Costs & Impacts,2026-08-01 13:20:29+00:00,www.kiiitv.com,EPA wants to reduce surprise diesel truck shutdowns with proposed rule change | kiiitv.com,,,,,,https://www.kiiitv.com/article/news/local/epa-wants-to-reduce-surprise-diesel-truck-shutdowns-with-proposed-rule-change/503-97956a01-8808-4093-8d0f-4e6c5f7f7ef3,"CORPUS CHRISTI, Texas — The U.S. Environmental Protection Agency is proposing a rule that would give heavy-duty diesel truck drivers more warning ...",,,,,2026-08-01 11:02:54.853751
,,2026-08-01 13:02:58+00:00,www.instagram.com,The Environmental Protection Agency (EPA) recommends contacting a qualified ... - Instagram,,,,,,https://www.instagram.com/p/DbdG6LyjGeB/,The Environmental Protection Agency (EPA) recommends contacting a qualified professional to install a radon reduction (also called radon mitigation) ...,,,,,2026-08-01 11:02:54.853751
,Costs & Impacts,2026-08-01 12:13:54+00:00,www.startribune.com,"Trump blames 'incompetent' Minnesota, not Iran, for water system cyberattacks",,,,,,https://www.startribune.com/trump-iran-mn-water-cyberattacks/601873948,"... Agency, the Environmental Protection Agency and the FBI are investigating the cyberattack. Minnesota IT Services and the Minnesota Department of ...",,,,,2026-08-01 12:06:56.549215
,Costs & Impacts,2026-08-01 12:08:16+00:00,Engadget,Cyberattacks hit water facilities in seven states across the US - Engadget,,,,,,https://www.engadget.com/2228441/cyberattacks-water-facilities-seven-states-across-the-us/,The FBI has issued a warning after water facilities from seven states reported that they were hacked.,,https://www.engadget.com/img/gallery/cyberattacks-hit-water-facilities-in-seven-states-across-the-us/l-intro-1785584172.jpg,,,2026-08-01 11:02:54.853751
,Costs & Impacts,2026-08-01 12:01:27+00:00,Taylorville Daily News,EPA: Brownfield Assessment Coalition Grant Announced,,,,,,https://taylorvilledailynews.com/local-news/926451,"The Springfield-Sangamon County Regional Planning Commission, on behalf of Sangamon County and in partnership with the City of Springfield and the Village of Grandview, has launched a countywide brow...",,https://storage.googleapis.com/lur-image-library/image_6a6ccceb1381b.jpg,,,2026-08-01 11:02:54.853751
,Opposition & Allies,2026-08-01 11:33:43+00:00,YouTube,FBI Warning About Cyberattacks on Infrastructure; Does Todd Blanche Have a Path to AG? - July 31,,,,,,https://www.youtube.com/watch?v=73WeNbQS16I,The FBI and the Environmental Protection Agency are warning utilities nationwide of more attacks on critical water infrastructure after hackers targeted cybe...,,https://i.ytimg.com/vi/73WeNbQS16I/maxresdefault.jpg,,,2026-08-01 11:02:54.853751
,Costs & Impacts,2026-08-01 11:18:44+00:00,www.houstonpublicmedia.org,A federal judge upheld stricter air quality standards. Here's what it means for Harris County,,,,,,https://www.houstonpublicmedia.org/articles/environment/2026/08/01/558386/houston-air-quality-harris-county-pollution-epa-lawsuit/?amp=1,A federal judge ruled in July that the U.S. Environmental Protection Agency (EPA) must enforce stricter air quality standards for PM 2.5 – fine ...,,,,,2026-08-01 11:02:54.853751
,,2026-08-01 11:10:24+00:00,www.wnypapers.com,"DEC & EPA radiological assessment update for Friday, July 31",,,,,,https://www.wnypapers.com/news/article/current/2026/07/31/166680/dec-epa-radiological-assessment-update-for-friday-july-31,The state Department of Environmental Conservation and Environmental Protection Agency continue to advance fieldwork across areas of interest in ...,,,,,2026-08-01 11:02:54.853751
,Costs & Impacts,2026-08-01 09:54:31+00:00,Cybersecurity Dive,US authorities see ‘significant escalation’ in attacks on water system devices,,,,,,https://www.cybersecuritydive.com/news/us-authorities-escalation-attacks-water-system-devices/826715/,"Hackers have locked operators out of their own OT networks, modified passwords and changed IP addresses.",,https://imgproxy.divecdn.com/wr8eVEswSuA98W3ufOi078_8qkgX8X6j7DLHmcy7c2E/g:ce/rs:fit:770:435/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy01MDUyMTM4MjQuanBn.webp,,,2026-08-01 11:02:54.853751
,,2026-08-01 06:56:49+00:00,Hazleton Standard Speaker,EPA hears concerns about limits for Greater Hazleton sewer plant,,,,,,https://www.standardspeaker.com/2026/07/31/epa-hears-concerns-about-limits-for-greater-hazleton-sewer-plant/,Residents said during a hearing with a federal agency that new limits for pre-treating industrial waste sent to a local sewage treatment plant could endanger trout and other aquatic life and add to pollution in Black Creek.,,https://www.standardspeaker.com/wp-content/uploads/2026/07/HZS-L-sewer-0729-03.jpg?w=2000&h=1455,,,2026-08-01 11:02:54.853751
,,2026-08-01 04:35:04+00:00,govt.westlaw.com,10051. Definitions. - View Document - California Code of Regulations,,,,,,https://govt.westlaw.com/calregs/Document/IA6D38264512211EC828B000D3A7C4BC3?originationContext=document&transitionType=StatuteNavigator&needToInjectTerms=False&viewType=FullText&ppcid=474a5a8826cb4f70913bb4e5a148c880&t_recent=on,(b) “Cal/EPA” means California Environmental Protection Agency. (c) “Secretary” means the Agency Secretary for the California Environmental ...,,,,,2026-08-01 12:06:56.549215
,,2026-08-01 03:37:06+00:00,WBFF,"Baltimore Topic Environmental-protection-agency | News, Weather, Sports, Breaking News",,,,,,https://foxbaltimore.com/topic/Environmental-protection-agency,"WBFF Fox45 provides local news, weather forecasts, traffic updates, notices of events and items of interest in the community, sports and entertainment programming for Baltimore and nearby towns and communities in Maryland, including Annapolis, Crofton, Glen Burnie, Linthicum, Pasadena, Severn, Cockeysville, Dundalk, Essex, Parkville, Owings Mills, Towson, White Marsh, Woodlawn, Hampstead, Sykesville, Taneytown, Westminster, Elkton, Perryville, Pt. Deposit, Rising Sun, Aberdeen, Abingdon, Bel Air, Edgewood, Fallston, Havre De Grace, Columbia, Elkridge, Ellicott City, Fulton, and Ocean City.",,https://foxbaltimore.com/resources/assets/wbff/images/brand-icons/WBFF-16x9.jpg,,,2026-08-01 11:02:54.853751
,Costs & Impacts,2026-08-01 02:39:36+00:00,www.wfae.org,Richmond County residents push stricter air quality standards for new Amazon data center,,,,,,https://www.wfae.org/text/energy-environment/2026-07-31/richmond-county-residents-push-stricter-air-quality-standards-for-new-amazon-data-center,DAQ maintains a statewide network of air quality monitors to ensure that the state meets Environmental Protection Agency requirements. More ...,,,,,2026-08-01 12:06:56.549215
,Costs & Impacts,2026-08-01 02:06:22+00:00,https://www.witn.com,"FBI, EPA warn of cyberattacks on water systems; Greenville Utilities says it’s prepared",,,,,,https://www.witn.com/2026/08/01/fbi-epa-warn-cyberattacks-water-systems-greenville-utilities-says-its-prepared/,The warning follows cyberattacks that targeted more than 30 municipal water systems in Minnesota. The latest update from the FBI and EPA does not name a culprit in those attacks.,,https://gray-witn-prod.gtv-cdn.com/resizer/v2/JV6YADG4ZNBFNGD34FR46ROCYI.png?auth=5433efe1f3020712f01e247854ae6960729d03812e0e2eca8ffe7c121b5fa4cb&width=1200&height=600&smart=true,,,2026-07-31 22:59:17.057905
,,2026-08-01 01:36:09+00:00,www.iqair.com,Vihari Air Quality Index (AQI) and Pakistan Air Pollution | IQAir Qatar,,,,,,https://www.iqair.com/qa/air-quality/pakistan/punjab/vihari,Data attribution. IQAir arrow pointing to the right. contributor icon. 1 station from Punjab Environmental Protection Agency.,,,,,2026-08-01 11:02:54.853751
,,2026-08-01 01:20:46+00:00,"Hermiston, OR",2025 Water Quality Report Shows Hermiston's Drinking Water Meets Federal Safety Standards,,,,,,https://www.hermiston.gov/publicworks/page/2025-water-quality-report-shows-hermistons-drinking-water-meets-federal-safety,"The 2025 Drinking Water Quality Report for the City of Hermiston, released in July, shows that Hermiston's drinking water continues to meet Environmental Protection Agency (EPA) safety standards.",,https://www.hermiston.gov/sites/all/themes/aha_compass/logo.png,,,2026-08-01 11:02:54.853751
