id,name,published,outlet,title,authors,category,market,categoryorder,articleorder,url,description,text,image,error,sentiment,firstEyes
,Media & Policy Landscape,2025-09-22 17:31:52+00:00,The Independent,How your bedtime may be fuelling your social media addiction ,,,,,,https://www.the-independent.com/news/uk/home-news/phone-addiction-social-media-bedtime-loneliness-b2831249.html,Those who prefer to go to sleep later at night are ‘significantly’ more at risk of developing smartphone and social media addiction ,,"https://static.the-independent.com/2025/09/12/20/37/iStock-2193727018.jpeg?trim=0,0,0,0&width=1200&height=800&crop=1200:800",,,2025-09-22 14:03:28.272442
,Media & Policy Landscape,2025-09-22 16:43:24+00:00,WFMZ.com,Can anxiety in lonely night owls trigger social media addiction?,,,,,,https://www.wfmz.com/health/can-anxiety-in-lonely-night-owls-trigger-social-media-addiction/article_86e6aca6-66e9-5d7f-b945-64d80a5e527a.html,No previous study had investigated the underlying link between being an “evening person” and problematic technology use.,,https://bloximages.newyork1.vip.townnews.com/wfmz.com/content/tncms/assets/v3/editorial/5/b6/5b6a1ae7-9dae-57a8-acdd-ea574da5a54a/68d1798d4c0b6.image.jpg?crop=1280%2C672%2C0%2C90&resize=1200%2C630&order=crop%2Cresize,,,2025-09-22 14:03:28.272442
,Media & Policy Landscape,2025-09-22 16:37:40+00:00,Griffin Daily News,Can anxiety in lonely night owls trigger social media addiction?,,,,,,https://www.griffindailynews.com/lifestyles/health/can-anxiety-in-lonely-night-owls-trigger-social-media-addiction/article_e07d97d6-a20a-5bbf-b553-acdec0e116c3.html,No previous study had investigated the underlying link between being an “evening person” and problematic technology use.,,https://bloximages.newyork1.vip.townnews.com/griffindailynews.com/content/tncms/assets/v3/editorial/4/d7/4d7e080e-0d39-50fa-9a9f-5a1f41914eab/68d179e47389e.image.jpg?crop=1280%2C672%2C0%2C90&resize=1200%2C630&order=crop%2Cresize,,,2025-09-22 14:03:28.272442
,Media & Policy Landscape,2025-09-22 16:33:15+00:00,The Independent,"‘Night owls’ more likely to develop social media addiction, study finds",,,,,,https://www.independent.co.uk/bulletin/lifestyle/social-media-addiction-bed-time-study-b2831355.html,,,"https://static.independent.co.uk/2025/06/06/13/44/iStock-1289222149.jpeg?trim=0,0,0,0&width=1200&height=800&crop=1200:800",,,2025-09-22 14:03:28.272442
,Media & Policy Landscape,2025-09-22 14:53:29+00:00,Yahoo News,How your bedtime may be fuelling your social media addiction,,,,,,https://nz.news.yahoo.com/bedtime-may-fuelling-social-media-125735803.html,Those who prefer to go to sleep later at night are ‘significantly’ more at risk of developing smartphone and social media addiction,,https://media.zenfs.com/en/the_independent_577/346be16917fb893d6aab03415c5983d9,,,2025-09-22 14:03:28.272442
,Industry Narrative / Counter-Messaging,2025-09-22 14:17:55+00:00,The Miami Times,‘Destroying vital evidence’: Florida CFO accuses social media companies of shielding child predators,,,,,,https://www.miamitimesonline.com/business/destroying-vital-evidence-florida-cfo-accuses-social-media-companies-of-shielding-child-predators/article_f4f3f17c-140b-4d2f-b8f6-f5487d13236b.html,Florida’s chief financial officer demanded Friday that social media companies be held accountable for creating disappearing messages that handicap child sex trafficking investigations.,,https://bloximages.newyork1.vip.townnews.com/miamitimesonline.com/content/tncms/assets/v3/editorial/5/23/52357d99-97af-4b25-9ee1-be95a0f668a5/68d159161faa5.image.jpg?crop=1659%2C871%2C0%2C189&resize=1200%2C630&order=crop%2Cresize,,,2025-09-22 18:02:16.988518
,Media & Policy Landscape,2025-09-22 12:05:12+00:00,www.expats.cz,How to curb your child’s scrolling habit? This Prague school has a plan,,,,,,https://www.expats.cz/czech-news/article/how-to-curb-your-child-s-scrolling-habit-park-lane-international-school-prague-school-has-a-plan,"With a realistic, blame-free approach to digital wellness, Park Lane International School helps families set effective tech boundaries.",,https://www.expats.cz/images/publishing/articles/2025/05/og/park-lane-052025-cover-01-uagiy.jpg,,,2025-09-22 14:03:28.272442
,Media & Policy Landscape,2025-09-22 06:05:12+00:00,www.expats.cz,How to curb your child's scrolling habit? This Prague school has a plan - Expats.cz,,,,,,https://www.expats.cz/czech-news/article/how-to-curb-your-child-s-scrolling-habit-park-lane-international-school-prague-school-has-a-plan%3Futm_source%3Dexpats.cz%26utm_medium%3Dsponsored-content-article-widget%26utm_campaign%3Dinternal-sp-hp-promotion,"With a realistic, blame-free approach to digital wellness, Park Lane International School helps families set effective tech boundaries ... policy.",,,,,2025-09-22 07:04:10.446056
,Youth Mental Health & Screens,2025-09-22 02:03:25+00:00,Media Outreach,"Award-winning Chill Lab youth mental health program impacted 146,000+ lives in two years with latest ""We Can"" student-led projects benefiting 17,000+ people #ZurichHongKong #ZZurichFoundation",,,,,,https://www.media-outreach.com/news/hong-kong/2025/09/22/410503/award-winning-chill-lab-youth-mental-health-program-impacted-146000-lives-in-two-years-with-latest-we-can-student-led-projects-benefiting-17000-people/,"          Chill Lab has positively impacted 146,161 people across Hong Kong              187 secondary schools were engaged via augmented reality (AR) and...",,https://images.media-outreach.com/Thumb/800x418/673955/1.Tulsi_Eric_Sofyen.JPG,,,2025-09-21 23:59:33.669017
,Industry Narrative / Counter-Messaging,2025-09-21 19:45:44+00:00,jang.com.pk,Elon Musk slammed by Sir Ed over child safety failures on social media,,,,,,https://jang.com.pk/en/48034-elon-musk-slammed-by-sir-ed-over-child-safety-failures-on-social-media-news,"Sir Ed Davey has criticized Elon Musk over concerns about hi social media platform's impact on children.The Liberal Democrat leader accused Musk of allowing online harm and failing to protect young users on X, claiming the platform is 'inciting...",,https://jang.com.pk/assets/uploads/english_news/2025-09-22/48034_124040_eng.jpg,,,2025-09-21 22:59:16.405834
,Media & Policy Landscape,2025-09-20 16:03:15+00:00,www.fastcompany.com,Are you a night owl? New Gen Z study ties staying up late to 'problematic' smartphone and ...,,,,,,https://www.fastcompany.com/91407887/night-owl-genz-study-ties-staying-up-late-smartphone-social-media-addiction,... media addiction than early birds. The reason why is particularly ... This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of ...,,,,,2025-09-20 13:03:38.982021
,Smartphones in Schools,2025-09-20 14:55:31+00:00,Daily Mirror,Teachers share how schools tackle mobiles as murdered teen's mum makes plea,,,,,,https://www.mirror.co.uk/news/uk-news/secondary-teachers-reveal-how-schools-35933100,"With children returning to classrooms for the new academic year this month, fresh polling of nearly 6,000 secondary teachers gives an insight into how schools are tackling the issue",,https://i2-prod.mirror.co.uk/article35933612.ece/ALTERNATES/s1200/1_Close-up-of-schoolgirl-using-mobile-phone-in-the-classroom.jpg,,,2025-09-20 13:03:38.982021
,Youth Mental Health & Screens,2025-09-19 22:32:14+00:00,Psychology Today,Social Media and Mental Distress,,,,,,https://www.psychologytoday.com/us/blog/our-new-discontents/202509/social-media-and-mental-distress,"""The Anxious Generation"" and other works have shone a harsh light on social media and its effects on youth mental health. Parents seem convinced, youth more conflicted.",,https://cdn2.psychologytoday.com/assets/styles/manual_crop_1_91_1_1528x800/public/teaser_image/blog_entry/2025-09/pexels-karolina-grabowska-6957277.jpg?itok=rnOzGxUa,,,2025-09-20 06:58:55.541991
,Media & Policy Landscape,2025-09-19 22:28:09+00:00,WDBO,New study finds loneliness and anxiety fuel smartphone and social media addiction in ‘night owls’,,,,,,https://www.wdbo.com/news/new-study-finds-loneliness-anxiety-fuel-smartphone-social-media-addiction-night-owls/HOBEPUG2F5H57CFR2KXHDJK2KU/,"Researchers say rather than simply telling young people to spend less time on their phones, they're looking at the reasons behind their usage.",,https://cmg-cmg-rd-20082-prod.cdn.arcpublishing.com/resizer/v2/https%3A%2F%2Fcloudfront-us-east-1.images.arcpublishing.com%2Fcmg%2FFOP56SKCHY3R5AYWHKOUNG67BU.jpg?auth=eed8b23e003ad45c8fc34704380d7cad57db9ac19d4fbca2088b2727b4a0a59f&width=1200&height=630&smart=true,,,2025-09-20 13:03:38.982021
