id,name,published,outlet,title,authors,category,market,categoryorder,articleorder,url,description,text,image,error,sentiment,firstEyes
,,2025-12-22 21:36:41+00:00,DVIDS,Getting married? Here's what you need to know about your TRICARE benefit - DVIDS,Not Available,,,,,https://www.dvidshub.net/image/9457134/getting-married-heres-you-need-know-about-your-tricare-benefit,"Marriage is a TRICARE Qualifying Life Event, meaning that you have 90 days from the date of marriage to make any changes to your TRICARE health plan.
Spouses of service members are eligible for coverage, including active duty spouses, retiree spouses, and National Guard and Reserve spouses.","Marriage is a TRICARE Qualifying Life Event, meaning that you have 90 days from the date of marriage to make any changes to your TRICARE health plan. Spouses of service members are eligible for coverage, including active duty spouses, retiree spouses, and National Guard and Reserve spouses.",https://d1ldvf68ux039x.cloudfront.net/thumbs/photos/2512/9457134/1000w_q95.jpg,N,,2025-12-22 19:56:16.165223
,,2025-12-22 21:14:50+00:00,www.facebook.com,TRICARE - Are you expecting a baby in the new year? Congrats! Check out our how-to ... - Facebook,Not Available,,,,,https://www.facebook.com/TRICARE/photos/are-you-expecting-a-baby-in-the-new-year-congrats-check-out-our-how-to-video-ser/1344005611088263/,"Are you expecting a baby in the new year? Congrats! 🍼   

Check out our how-to video series about everything you need to know for enrolling your newborn...",Not Available,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/604521557_1344005614421596_5612475333150667988_n.jpg?stp=dst-jpg_p75x225_tt6&_nc_cat=107&ccb=1-7&_nc_sid=27488d&_nc_ohc=8BCqmp3BTGEQ7kNvwEPdI7P&_nc_oc=AdnLcMwS6KZfzFFUUAbX_9oua9VqtsVnUbTDQQj6Ufd56jNnqMpmeifNTJR_D7c_1zP6P9L_LKd_LETkBqFFbgbN&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=QdNQXVjRy_RWBljJPS78YQ&oh=00_AfmHRI2byX4cSzSivQmAJrmc-BqZOzrZyeuf68JS0RQydQ&oe=694FD260,N,,2025-12-22 19:56:20.112805
,,2025-12-21 11:18:12+00:00,Hartford Courant,"CT man gets almost 3 years in prison for role in $7.8 million health care fraud, kickback scheme",Justin Muszynski,,,,,https://www.courant.com/2025/12/21/ct-man-gets-almost-3-years-in-prison-for-role-in-7-8-million-health-care-fraud-kickback-scheme/,"A Connecticut man has been sentenced to 30 months in prison for his role in a $7.8 million health care fraud and kickback scheme.
He previously pleaded guilty to a two-count information charging him with conspiracy to violate the Federal Anti-Kickback statute and conspiracy to commit health care fraud.
The leads consisted of information about Medicare and other beneficiaries and pre-written doctors’ orders for DME.
Authorities allege Foote paid bribes and kickbacks to telemedicine companies, which in turn paid bribes and kickbacks to doctors to obtain doctors’ orders for DME based on the leads.
“Foote then sold the signed doctors’ orders to others with whom he had kickback arrangements.","A Connecticut man has been sentenced to 30 months in prison for his role in a $7.8 million health care fraud and kickback scheme.

Jesse Foote, 60, of Fairfield faced sentencing on Wednesday in federal court in Newark, New Jersey, according to the U.S. Attorney’s Office.

He previously pleaded guilty to a two-count information charging him with conspiracy to violate the Federal Anti-Kickback statute and conspiracy to commit health care fraud.

Between December 2017 and March 2021, Foote conspired with overseas telemarking call centers, durable medical equipment suppliers, telemedicine companies and doctors to submit fraudulent claims to health care benefit programs like Medicare and TRICARE, federal officials said. The fraud was described by authorities as a “a circular scheme of kickbacks and bribes.”

Authorities said Foote controlled a marketing company through which he purchased patient “leads” from overseas telemarking companies. The leads consisted of information about Medicare and other beneficiaries and pre-written doctors’ orders for DME.

Officials said the call centers targeted Medicare beneficiaries and others with health insurance to persuade them to accept DME, including orthotic braces, whether they needed them or not. Authorities allege Foote paid bribes and kickbacks to telemedicine companies, which in turn paid bribes and kickbacks to doctors to obtain doctors’ orders for DME based on the leads.

“The doctors often approved the DME orders without having any contact with the beneficiary and without making a bona fide assessment that the DME was medically necessary,” the U.S. Attorney’s Office wrote. “Foote then sold the signed doctors’ orders to others with whom he had kickback arrangements. The doctors’ orders were ultimately submitted to DME suppliers, including DME suppliers controlled by Foote, which submitted fraudulent claims for reimbursement to health care benefit programs including Medicare, TRICARE, and private insurance companies.”

A total of more than $7.8 million worth of false and fraudulent claims were submitted to health care benefit programs through the scheme, officials said.

During his sentencing, Foote was ordered to serve three years of supervised release once he is released from prison and to pay about $7.8 million in restitution.",https://www.courant.com/wp-content/uploads/2023/12/court_gavel.jpg?w=640&h=373,N,-1.0,2025-12-21 09:56:19.272177
,,2025-12-21 09:34:58+00:00,X (formerly Twitter),AI is moving from the lab to the battlefield. The DHA CDAO team is developing AI new tools ...,Not Available,,,,,https://x.com/DoD_DHA/status/2002121900395245648,Defense Health Agency (@DoD_DHA). 84 views. AI is moving from the lab to the battlefield. The DHA CDAO team is developing AI new tools to increase ...,"JavaScript is not available.

We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center.",,N,0.0,2025-12-21 07:56:24.191985
,,2025-12-21 07:32:46+00:00,www.facebook.com,"Join the TRICARE team tomorrow, December 3, 2024 at 2 p.m. ET (December 4, 2024 ... - Facebook",Not Available,,,,,https://www.facebook.com/story.php%3Fstory_fbid%3D559850773418712%26id%3D100081813825282,... Military Health System Nurse Advice Line: 00-66-3382-1820 DSN:9-4-888-901-7144 https://mhsnurseadviceline.com Suicide Crisis Hotline: 046-407 ...,Not Available,,N,0.0,2025-12-21 07:56:27.358150
,,2025-12-21 06:05:52+00:00,The Globe and Mail,RBC Capital Sticks to Its Buy Rating for Humana (HUM) - The Globe and Mail,Unknown,,,,,https://www.theglobeandmail.com/investing/markets/stocks/HUM-N/pressreleases/36732447/rbc-capital-sticks-to-its-buy-rating-for-humana-hum/,Detailed price information for Humana Inc (HUM-N) from The Globe and Mail including charting and trades.,Not Available,https://www.theglobeandmail.com/pf/resources/assets/meta/favicon-32x32.png?d=815,N,0.0,2025-12-21 05:56:24.628638
,,2025-12-20 22:48:28+00:00,X (formerly Twitter),Rep. Don Bacon ✈️🏍️⭐️🎖️ (@RepDonBacon) on X,Not Available,,,,,https://x.com/RepDonBacon/status/2002419297222574502,"... Defense Health Agency to analyze complaint trends each quarter, and ... military health system,” Rep. Bacon said. “I'm pleased to co-lead ...","JavaScript is not available.

We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center.",,N,1.0,2025-12-20 21:56:21.613780
,,2025-12-20 21:57:25+00:00,www.jbsa.mil,TRICARE orthodontic coverage: What you need to know - Joint Base San Antonio,Not Available,,,,,https://www.jbsa.mil/News/Photos/igphoto/2003847541/,You can only get orthodontic care if your eligibility is reflected in DEERS.,Not Available,https://media.defense.gov/2025/Dec/17/2003847541/431/300/0/251217-O-D0202-1001.JPG,N,0.0,2025-12-20 19:56:40.540441
,,2025-12-20 19:21:55+00:00,Military Health System,Articles | Health.mil,Not Available,,,,,https://health.mil/News/Articles%3FID%3D168%26newsVector%3D0100000%26broadVector%3D000%26refVector%3D000000000000000%26page%3D176,"You are leaving Health.mil The appearance of hyperlinks does not constitute endorsement by the Department of Defense of non-U.S. Government sites or the information, products, or services contained therein.
Although the Defense Health Agency may or may not use these sites as additional distribution channels for Department of Defense information, it does not exercise editorial control over all of the information that you may find at these locations.
Such links are provided consistent with the stated purpose of this website.","You are leaving Health.mil

The appearance of hyperlinks does not constitute endorsement by the Department of Defense of non-U.S. Government sites or the information, products, or services contained therein. Although the Defense Health Agency may or may not use these sites as additional distribution channels for Department of Defense information, it does not exercise editorial control over all of the information that you may find at these locations. Such links are provided consistent with the stated purpose of this website.",https://health.mil/-/media/Images/MHS/Photos/Default-MHS-Seal.png,N,0.0,2025-12-21 07:56:30.696995
,,2025-12-20 18:58:48+00:00,www.quiverquant.com,"Press Release: Bacon, Horsford, Kiggans, and Houlahan Unveil Bipartisan Military CARE ...",Not Available,,,,,https://www.quiverquant.com/news/Press%2BRelease%253A%2BBacon%252C%2BHorsford%252C%2BKiggans%252C%2Band%2BHoulahan%2BUnveil%2BBipartisan%2BMilitary%2BCARE%2BAct%2Bto%2BEnhance%2BHealth%2BCare%2BAccess%2Bfor%2BMilitary%2BFamilies,Financial news and insights from Quiver Quantitative,Not Available,https://www.quiverquant.com/static/images/site_preview.png,N,0.0,2025-12-20 14:56:22.520868
