name,search,url
EVs,"electric vehicles AND (""tax credits"" OR ""battery manufacturing"")",https://www.google.com/alerts/feeds/07456959579114045064/10112514539982336567
Clean Energy ,"clean energy AND (jobs OR manufacturing OR ""innovation grants"")",https://www.google.com/alerts/feeds/07456959579114045064/12752777143523471886
American Energy,American Energy OR Power Plants,https://www.google.com/alerts/feeds/07456959579114045064/4277885587377749205
Congress,Congress AND Environment,https://www.google.com/alerts/feeds/07456959579114045064/16036511829983066695
EPA,Environmental Protection Agency,https://www.google.com/alerts/feeds/07456959579114045064/7624403593417788679
Detroit Clean Energy,Detroit AND (clean energy AND (tax credits OR jobs)),https://www.google.com/alerts/feeds/07456959579114045064/9291075885921736041
Detroit Environment,Detroit AND environment,https://www.google.com/alerts/feeds/07456959579114045064/11496199387432315315
Detroit American Energy ,Detroit AND American Energy,https://www.google.com/alerts/feeds/07456959579114045064/17947949398565134040
Detroit and Evs,Detroit and electric vehicles,https://www.google.com/alerts/feeds/07456959579114045064/10626313764283140685
IRA Tax Credits,Inflation Reduction Act AND Tax Credits,https://www.google.com/alerts/feeds/07456959579114045064/6628924625123752034
Texas Clean Energy,Texas AND (clean energy AND (tax credits OR jobs)),https://www.google.com/alerts/feeds/07456959579114045064/14045465514921845633
Texas Environment,Texas AND environment,https://www.google.com/alerts/feeds/07456959579114045064/7165561764029894576
Texas American Energy ,Texas AND American Energy,https://www.google.com/alerts/feeds/07456959579114045064/18029258170616175286
Texas and Evs,Texas AND electric vehicles, https://www.google.com/alerts/feeds/07456959579114045064/9392866326513664359
North Carolina Clean Energy,North Carolina AND (clean energy AND (tax credits OR jobs)),https://www.google.com/alerts/feeds/07456959579114045064/4812509121822972464
North Carolina Environment,North Carolina AND environment,https://www.google.com/alerts/feeds/07456959579114045064/11824451108525933926
North Carolina American Energy ,North Carolina AND American Energy,https://www.google.com/alerts/feeds/07456959579114045064/6157840652628652089
North Carolina and Evs,North Carolina AND electric vehicles,https://www.google.com/alerts/feeds/07456959579114045064/3761371289193235748
Indiana Clean Energy,Indiana AND (clean energy AND (tax credits OR jobs)),https://www.google.com/alerts/feeds/07456959579114045064/10547353626830317406
Indiana Environment,Indiana AND environment,https://www.google.com/alerts/feeds/07456959579114045064/6145507719882755444
Indiana American Energy ,Indiana AND American Energy,https://www.google.com/alerts/feeds/07456959579114045064/15487664912929449099
Indiana and Evs,Indiana AND electric vehicles,https://www.google.com/alerts/feeds/07456959579114045064/3132197653425562248
Lousiana Clean Energy,Louisiana AND (clean energy AND (tax credits OR jobs)),https://www.google.com/alerts/feeds/07456959579114045064/3689935245706310285
Louisiana Environment,Louisiana AND environment,https://www.google.com/alerts/feeds/07456959579114045064/1418258425147735217
Louisiana American Energy ,Louisiana AND American Energy,https://www.google.com/alerts/feeds/07456959579114045064/12913058353234868005
Louisiana and Evs,Louisiana AND electric vehicles,https://www.google.com/alerts/feeds/07456959579114045064/4048205569296685616
