id,name,published,outlet,title,authors,category,market,categoryorder,articleorder,url,description,text,image,error,sentiment,firstEyes
,,2025-06-20 01:03:18+00:00,catholicweekly.com.au,Traditionalist Catholics see evangelisation potential of Latin Mass,,,,,,https://catholicweekly.com.au/traditionalist-catholics-see-evangelisation-potential-of-latin-mass/,Arts & Entertainment · Education · Magazines & Supplements · National · NSW ... A sacramentary is seen on the altar during a traditional Latin Mass in ...,,,,,2025-06-19 21:59:11.031046
,,2025-06-19 20:13:46+00:00,TrendHunter.com,Immersive Water Entertainment Venues,,,,,,http://www.trendhunter.com/trends/cirque-du-soleil-ludo,"Cirque du Soleil LUDO - Cirque du Soleil LUDŌ will make its official debut on December 12, 2025, at VidantaWorld Nuevo Vallarta, representing a landmark collaboration bet...",,https://cdn.trendhunterstatic.com/thumbs/574/cirque-du-soleil-ludo.jpeg,,,2025-06-19 16:59:22.758271
,,2025-06-19 18:12:39+00:00,CiberCuba,Controversy among Cuban artists following Billboard Latin magazine's recognition of the reggaeton genre and its performers,,,,,,https://en.cibercuba.com/noticias/2025-06-19-u208487-e208487-s27065-nid305396-polemica-artistas-cubanos-tras-reconocimiento,"Billboard Latin highlights the Cuban genre, sparking debate among artists over the selection of representatives. Some celebrate the international recognition, while others criticize the lack of proper representation.",,https://cdn0.celebritax.com/sites/default/files/styles/watermark_100/public/1750351954-polemica-artistas-cubanos-tras-reconocimiento-revista-billboard-latin-al-genero-reparto.jpg,,,2025-06-19 15:04:43.373479
,,2025-06-19 18:09:31+00:00,Hypebeast,Carter Gregory on Latin Culture's Global Influence,,,,,,https://hypebeast.com/2025/6/carter-gregory-latin-culture-global-influence-interview,The VP of A&R at Capitol Records speaks on the rise of Latin music on a global level.,,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2025%2F06%2F19%2Fcarter-gregory-latin-culture-global-influence-interview-tw.jpg?w=1080&cbr=1&q=90&fit=max,,,2025-06-19 15:04:43.373479
,,2025-06-19 17:24:00+00:00,The Weekly Journal,Nathy Peluso will bring her tour to Puerto Rico,,,,,,https://www.theweeklyjournal.com/lifestyle/entertainment/nathy-peluso-will-bring-her-tour-to-puerto-rico/article_2fb0a00b-674a-4dc3-917e-0676e391c1bf.html,Singer-songwriter Nathy Peluso will perform for the first time in Puerto Rico as part of her GRASA world tour on October 30 at the Coca-Cola Music Hall.,,https://bloximages.newyork1.vip.townnews.com/wjournalpr.com/content/tncms/assets/v3/editorial/e/5e/e5ef992f-6a6b-47a0-a994-b2494dba3e43/68543f80a0e78.image.png?crop=1223%2C642%2C0%2C93&resize=1200%2C630&order=crop%2Cresize,,,2025-06-19 16:59:22.758271
,,2025-06-19 13:47:59+00:00,www.gulfweekly.com,A Greek feast for all - Gulf Weekly,,,,,,https://www.gulfweekly.com/Articles/44607/A-Greek-feast-for-all,"Guests can enjoy a selection of appetisers, mains and desserts, alongside lively entertainment and cultural activities on June 28, 2pm to 6.30pm, at ...",,,,,2025-06-19 14:08:23.694444
,,2025-06-19 13:23:52+00:00,WDRB,AP Entertainment SummaryBrief at 8:29 a.m. EDT,,,,,,https://www.wdrb.com/news/national/ap-entertainment-summarybrief-at-8-29-a-m-edt/article_7bb920e6-3f8a-5a22-ac18-e089547f84f8.html,Who will have the 2025 song of the summer? We offer some predictions,,https://bloximages.newyork1.vip.townnews.com/wdrb.com/content/tncms/custom/image/47ea3bc8-d7b7-11e8-a2eb-2715aca360ef.png?resize=600%2C600,,,2025-06-19 10:00:54.735260
,,2025-06-19 12:48:07+00:00,Travel And Tour World,Cirque du Soleil’s LUDŌ to Redefine Luxury Entertainment in Mexico with Immersive Water Show at VidantaWorld - Travel And Tour World,,,,,,https://www.travelandtourworld.com/news/article/cirque-du-soleils-ludo-to-redefine-luxury-entertainment-in-mexico-with-immersive-water-show-at-vidantaworld/,"Cirque du Soleil LUDŌ premieres in VidantaWorld Nuevo Vallarta in December 2025. A groundbreaking immersive water show combining art, technology, and dining.",,https://www.travelandtourworld.com/wp-content/uploads/2025/06/Cirque-du-Soleil-Water-Show-in-Latin-America-KR-1.jpeg,,,2025-06-19 11:00:58.339608
,,2025-06-19 12:39:40+00:00,www.breakingtravelnews.com,"VidantaWorld Launches Cirque du Soleil LUDŌ, the First Resident Immersive Water Show ...",,,,,,https://www.breakingtravelnews.com/news/article/vidantaworld-launches-cirque-du-soleil-lud-the-first-resident-immersive-wat/,"Thus, the palate becomes another way to immerse in the story. “VidantaWorld is the most ambitious entertainment destination ever created in Latin ...",,,,,2025-06-19 10:00:54.735260
,,2025-06-19 12:21:10+00:00,The Bakersfield Californian,ZAP Surgical Announces First ZAP-X Gyroscopic Radiosurgery Patient Treatments in Latin America,,,,,,https://www.bakersfield.com/ap/news/zap-surgical-announces-first-zap-x-gyroscopic-radiosurgery-patient-treatments-in-latin-america/article_b390cc33-9065-5559-a89c-fed4395b8f14.amp.html,"SAN CARLOS, Calif.--(BUSINESS WIRE)--Jun 19, 2025--",,https://bloximages.newyork1.vip.townnews.com/bakersfield.com/content/tncms/assets/v3/editorial/4/a3/4a318313-0439-5226-bdf6-fea49dabc852/6853f2ab38be2.image.jpg?crop=1762%2C925%2C0%2C125&resize=1200%2C630&order=crop%2Cresize,,,2025-06-19 16:59:22.758271
,,2025-06-19 10:16:27+00:00,Las Vegas Sun,AP Entertainment SummaryBrief at 12:11 a.m. EDT,,,,,,https://lasvegassun.com/news/2025/jun/18/ap-entertainment-summarybrief-at-1211-am-edt/,AP Entertainment SummaryBrief at 12:11 a.m. EDT,,//assets.lasvegassun.com/media/assets/images/icons/favicon-app.png,,,2025-06-19 11:00:58.339608
,,2025-06-19 03:29:46+00:00,매일경제,Top Hollywood actor Jessica Alba will appear in the music video for global girl group KATSEYE's new .. - MK,,,,,,https://www.mk.co.kr/en/entertain/11346890,"Top Hollywood actor Jessica Alba will appear in the music video for global girl group KATSEYE's new single ""Gabriela.""KATSEYE (Daniela, Lara, Manon, Megan, Sophia, and Yunchae) posted the second tease..",,https://wimg.mk.co.kr/news/cms/202506/19/news-p.v1.20250619.ce6d57587f2f463da9b8281b8fc8613f_P1.jpg,,,2025-06-19 16:59:22.758271
,,2025-06-19 03:13:33+00:00,thesource.com,The Source |Stefon Diggs Hints at Latin Love Diving into Bachata for Cardi B,,,,,,https://thesource.com/2025/06/18/stefon-diggs-hints-at-latin-love-diving-into-bachata-for-cardi-b/,Stefon Diggs Hints at Latin Love Diving into Bachata for Cardi B,,https://thesource.com/wp-content/uploads/2025/06/Screen-Shot-2025-06-18-at-2.06.03-PM.png,,,2025-06-19 01:57:55.230753
,,2025-06-19 01:25:30+00:00,Star Weekly,[READER COMPETITION] - Win Circus Latino Family passes in Sunshine | Star Weekly,,,,,,https://starweekly.com.au/blog/2025/06/19/reader-competition-win-circus-latino-family-passes-in-sunshine/,... Latino a unique and entertaining experience for all. For your chance to win a family pass simply fill in your Email and click CONTINUE>. Email ...,,https://starweekly.com.au/wp-content/uploads/2025/06/Circus-latino-2.png,,,2025-06-19 15:04:43.373479
,,2025-06-19 00:47:05+00:00,Latin Times,"Latin Music Festival Season: Your Ultimate Guide to Food, Drinks, and Entertainment",,,,,,https://www.latintimes.com/latin-music-festival-season-your-ultimate-guide-food-drinks-entertainment-585301,"Latin music festivals have grown beyond basic concert experiences. They've transformed into cultural gatherings where music plays alongside food exploration, drinks, and community connections. You enjoy performances while tasting authentic foods, trying new drinks, and soaking in Latino traditions.",,https://d.latintimes.com/en/full/579410/latin-music-festival-season.jpg,,,2025-06-18 22:01:06.350181
,,2025-06-18 23:04:28+00:00,95.5 WSB,Nezza's anthem in Spanish at Dodger Stadium ignites debate over team's immigrant support,,,,,,https://www.wsbradio.com/entertainment/nezzas-spanish/ZUIMZMZH4BCBNLJMO3QPFA7YDI/,"After Latin pop and R&B singer Nezza's viral controversial performance at Dodger Stadium, Dodgers fans have grown frustrated over the team’s lack of vocal support for local immigrant communities impacted by the rise of U.S. Immigration and Customs Enforcement arrests and raids",,https://cmg-cmg-rd-20021-prod.cdn.arcpublishing.com/resizer/v2/https%3A%2F%2Fcloudfront-us-east-1.images.arcpublishing.com%2Fcmg%2FGSB6QKJ35D46LNGITZOH3WO564.jpg?auth=e3c3dfff502d807101ffc7d009fea65e86321fb476b26f0682b47ab2d22ebc84&width=1200&height=630&smart=true,,,2025-06-19 01:57:55.230753
